node,degree,clustering,closeness_centrality,betweenness_centrality,eccentricity
Revogado pela Lei nº 12.010,11,0,0.009130767807532646,0.0,8
"CAPÍTULO II
Dos Direitos da Personalidade",1,0,0.006714550556902195,0.0,8
e34b7103-57e0-4864-ba1a-77dcfd522583,1,0,0.007687345474491122,0.0,7
5fa46107-6eb0-461e-8682-73b67d49363b,1,0,0.007687345474491122,0.0,7
c4e20879-53b6-4ff3-b5a3-a889ec855fb3,2,0,0.007687345474491122,2.9504091791316056e-07,7
Salvo,10,0,0.011067993723246378,0.0,7
c1254f4a-cbb6-408b-b262-b5f66890ac98,1,0,0.007687345474491122,0.0,7
0911239d-931a-45b1-a6a0-b02dc30ee93d,1,0,0.007687345474491122,0.0,7
12ce6467-d688-456e-84ea-2b2b1582b684,1,0,0.007687345474491122,0.0,7
442b1aca-a17f-4009-ab30-a941873ad3da,1,0,0.007687345474491122,0.0,7
602f5dfa-2544-49e3-b4ba-2807506f64c9,1,0,0.007687345474491122,0.0,7
d6704814-c2a2-49e5-9d23-6363a41cbf09,1,0,0.007687345474491122,0.0,7
b03b4de7-55ad-4bb4-9992-a5e33427d7f0,3,0,0.007687345474491122,1.1731376554045789e-06,7
Vide,3,0,0.0081860516946108,0.0,8
Artigo 21,2,0,0.00972324029423411,2.2373863007069833e-05,6
Artigo 22,2,0,0.00972324029423411,1.036048943281758e-05,6
Artigo 23,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 24,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 78,2,0,0.00972324029423411,4.070604466260492e-05,6
Artigo 79,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 80,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 137,2,0,0.00972324029423411,3.052953349695369e-05,6
Artigo 138,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 139,2,0,0.00972324029423411,1.0253310222528115e-05,6
Artigo 140,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 141,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 142,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 143,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 188,2,0,0.00968224835006193,1.4361764194837346e-05,6
Artigo 189,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 190,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 191,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 192,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 193,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 194,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 195,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 232,2,0,0.00972324029423411,5.0882555828256155e-05,6
Artigo 233,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 234,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 235,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 236,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 237,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 238,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 239,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 240,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 241,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 263,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 264,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 265,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 303,2,0,0.00972324029423411,4.070604466260492e-05,6
Artigo 304,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 305,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 306,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 420,2,0,0.00972324029423411,2.2333725785222027e-05,6
Artigo 421,5,0,0.00972324029423411,5.4180668461628776e-05,6
Artigo 422,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 423,4,0,0.00972324029423411,4.234984406914255e-05,6
Artigo 424,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 425,2,0,0.00972324029423411,1.023936424147162e-05,6
Artigo 471,2,0,0.00967438299803101,2.8417431605900792e-05,6
Artigo 472,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 480,5,0,0.01148424828406574,0.00018006355838949334,6
Artigo 481,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 482,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 483,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 484,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 485,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 486,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 487,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 488,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 489,2,0,0.00972324029423411,1.5264766748476846e-05,6
Artigo 490,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 491,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 492,2,0,0.00972324029423411,2.035302233130246e-05,6
Artigo 493,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 494,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 495,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 496,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 497,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 498,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 499,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 500,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 501,2,0,0.00972324029423411,1.0494798046787386e-05,6
Artigo 502,2,0,0.00972324029423411,1.017651116565123e-05,6
Artigo 503,2,0,0.00972324029423411,1.017651116565123e-05,6
