node,degree,clustering,closeness_centrality,betweenness_centrality,eccentricity
P A R T E    G E R A L,4,0,0.0,0.0,10
LIVRO I,14,0,0.0028680688336520078,0.0016432169330184087,9
"Livro II da Parte Especial deste Código . (Incluído pela Lei nº 10.825, de 22.12.2003)",3,0,0.0009560229445506692,9.46206877084268e-05,9
LIVRO II,7,0,0.0019120458891013384,0.00037364267180818703,9
LIVRO III,17,0,0.0057361376673040155,0.003953049713378794,9
TÍTULO I,16,0,0.007693708458526815,0.0021348210502125705,8
TÍTULO II,17,0,0.00851729532417869,0.0026164640998619414,8
TÍTULO III,17,0,0.0072456475797524405,0.002341728717340908,8
TÍTULO IV,12,0,0.007693708458526815,0.001473615437070169,8
TÍTULO V,5,0,0.004839866156787763,0.0003145572218272051,8
título do crédito cedido.,3,0,0.002185195301830101,7.405271999391521e-05,8
TÍTULO VI,23,0,0.004839866156787763,0.0015205143307323167,8
TÍTULO VII,6,0,0.004839866156787763,0.0004135091509620518,8
TÍTULO VIII,6,0,0.004839866156787763,0.0004135091509620518,8
TÍTULO IX,5,0,0.004839866156787763,0.00031636002172127274,8
TÍTULO X,6,0,0.004839866156787763,0.0004135091509620518,8
CAPÍTULO I,21,0,0.012713071071152516,0.003938983292487855,7
CAPÍTULO II,23,0,0.014223280134233424,0.005042977283254087,7
CAPÍTULO III,16,0,0.011971069914373597,0.002846274674236023,7
CAPÍTULO IV,20,0,0.013938814531548757,0.0043788064371566475,7
CAPÍTULO V,15,0,0.010282557892500531,0.0020855660288845264,7
CAPÍTULO VI,12,0,0.010282557892500531,0.0017893024593805896,7
CAPÍTULO VII,12,0,0.009581957239701025,0.0016215723393098248,7
CAPÍTULO VIII,10,0,0.008417665438604675,0.0008974163313187952,7
CAPÍTULO IX,10,0,0.008417665438604675,0.0007362561719744794,7
CAPÍTULO X,13,0,0.009104980424292088,0.0015310258749947753,7
CAPÍTULO XI,9,0,0.008417665438604675,0.0010350136030894594,7
Seção Desconhecida,23,0,0.010307888414962985,0.000531840627652952,8
Seção I,183,0,0.019081035264433974,0.0067187752008666,8
Seção II,221,0,0.021118546845124285,0.008680675884057553,6
Seção III,330,0,0.023204440401715272,0.014091920318315193,8
Seção IV,59,0,0.015170298153089743,0.0016922716539875752,8
Seção V,195,0,0.019081035264433974,0.007218344059723663,8
Seção VI,51,0,0.01580555324632139,0.0014355484715679748,8
Seção VII,10,0,0.01270301751609855,0.00012918793672432455,8
Seção VIII,16,0,0.01580555324632139,0.00018705886605811044,8
Seção IX,9,0,0.010307888414962985,0.00013518443162103096,8
Artigo Desconhecido,10,0,0.02245239684568998,0.0,7
Artigo 1º,1,0,0.007966857871255577,0.0,9
Artigo 2º,1,0,0.007966857871255577,0.0,9
Artigo 3,1,0,0.007966857871255577,0.0,9
Artigo 3º,1,0,0.007966857871255577,0.0,9
Artigo 4,1,0,0.007966857871255577,0.0,9
Artigo 4º,1,0,0.007966857871255577,0.0,9
Artigo 5º,1,0,0.007966857871255577,0.0,9
Artigo 6º,1,0,0.007966857871255577,0.0,9
Artigo 7º,1,0,0.007966857871255577,0.0,9
Artigo 8,1,0,0.007966857871255577,0.0,9
Artigo 11,1,0,0.007966857871255577,0.0,9
Artigo 12,1,0,0.007966857871255577,0.0,9
Artigo 13,1,0,0.007966857871255577,0.0,9
Artigo 14,1,0,0.007966857871255577,0.0,9
Artigo 15,1,0,0.007966857871255577,0.0,9
Artigo 16,1,0,0.007966857871255577,0.0,9
Artigo 17,1,0,0.007966857871255577,0.0,9
Artigo 18,1,0,0.007966857871255577,0.0,9
Artigo 19,1,0,0.007966857871255577,0.0,9
Artigo 20,1,0,0.007966857871255577,0.0,9
Artigo 21,1,0,0.013633425793768347,0.0,9
Artigo 22,1,0,0.013633425793768347,0.0,9
Artigo 23,1,0,0.013633425793768347,0.0,9
Artigo 24,1,0,0.013633425793768347,0.0,9
Artigo 25,1,0,0.013633425793768347,0.0,9
Artigo 78,1,0,0.013633425793768347,0.0,9
Artigo 79,1,0,0.013633425793768347,0.0,9
Artigo 80,1,0,0.013633425793768347,0.0,9
Artigo 137,1,0,0.013633425793768347,0.0,9
